,query_id,original_query_id
0,6180777e-5c59-4b43-9d8a-0c93476050ef,0
1,6e346544-4b6f-4e37-944f-4b1534be31a8,63643554
2,679652c6-dd51-455c-a642-a7370b5a9f57,63643560
3,a3f34ad9-cd4e-4a3c-a14f-721be13cbec7,63643571
4,924c5fe0-4468-4e3a-b3d2-2f4058cae153,63643585
5,ce3c97e6-0759-4234-a380-63acfe8f37e4,63643589
6,1cf68cf2-a001-4929-902d-b68ab66b923d,63643589
7,f5576f64-fac1-4f31-96f4-1e408049c89d,63643598
8,6b6e4bdc-8cf4-4088-aec9-6dccfdd08b86,63643603
9,e7774559-d290-471b-820f-dffdb306e2dc,63643607
10,86a5982e-e0e8-4f0f-b08a-cb26029ae07b,63643609
11,7a752dbf-e749-4267-ade2-df8e6267e909,63643614
12,0e7478db-5c31-401a-a774-ab30eb170577,63643615
13,214c4217-eb3e-4c89-bf41-65fa52d82947,63643618
14,9c67be3d-8fd7-4fc3-a6c3-c94128ea653e,63643621
15,75c16591-0d57-4bcb-875b-20b6a4c554cc,63643624
16,e945ce03-5a63-4da4-94c0-6fe8274b0867,63643626
17,bb624428-fdd1-4a56-940e-494f5df98816,63643629
18,bff9fa72-d3bc-44e2-be64-34bacc8f990d,63643628
19,09ca2587-604c-4a66-ad5a-e8b7ba3634da,63643632
20,cef8d299-576f-425b-9310-2306480778a9,63643633
21,a1609944-74c6-44e9-83e6-1cc9311be885,63643634
22,91a1b936-7d7b-4a94-a396-28dd43c1afe5,63643636
23,f6b70bf0-0cd1-469c-b95f-6870bde5affc,63643639
24,0b8cea09-d655-4c8e-ac0c-d17b629c88a7,63643641
25,90eae186-3643-4367-9560-9ef95f208444,63643642
26,375d1459-b505-446a-be62-ff431a066521,63643645
27,bcc080a6-7e8f-4842-9044-e7e2ba1112b1,63643647
28,a65f75c6-85fd-4c10-a7fd-9b84cd7409f4,63643648
29,a8cb36d8-8f45-48d9-bd84-d9d8272b72d7,63643651
30,f3db40fc-17cc-42e5-9ccf-9eb36d76f488,63643654
31,cf08f6b3-5958-40d0-aaeb-8d6a29de3798,63643657
32,8bbbe09b-cbf3-46ec-8134-6259b6840a13,63643658
33,ad1f5ee1-5b33-4da7-8203-3707d014ac9d,63643659
34,8a873a63-0100-4654-a5a1-7a4a58cfd7d8,63643660
35,4075a6c5-b6b0-4675-9657-4424a5b694ba,63644023
36,2fc2fcbe-47ff-4d80-b742-07d0acbbb263,63644053
37,e11bae45-c7fe-4752-b1e9-7c63fb667b10,63644073
38,52087cef-b230-401b-9035-57d5eb001166,63644109
39,fc084d7c-f180-45c6-b33c-c9482179cef4,63644117
40,c4a37f7a-ffb7-4ac4-8028-6d4cb97466aa,63644127
41,29465af6-cd73-4e58-bb59-148ff2e742e1,63644139
42,e17910a9-4bc1-4fc9-9d5a-78bd31e263e4,63644146
43,f80023a1-9618-475c-94f6-f0110f53d3cc,63644184
44,bd7ce7d8-d2e1-4d94-83d0-aabca77d841a,63644207
45,cd4d6e79-7b83-4f01-9214-be309a796a81,63644208
46,5524ce89-b576-4f8d-9b97-1abda7fb7ea0,63644222
47,a29a1780-c006-4911-85a0-8a507d324413,63644242
48,bc539569-ab30-4a36-9499-2bc04eebd327,63644248
49,0d4d7a33-600a-4b9f-bc82-cb840d367f41,63644254
50,e84862d4-1ac7-4ab4-b159-3ef114659636,63644280
51,6f75d6ad-4c45-4006-9bd2-2319722f5ac5,63644292
52,ea1ed28c-15b4-4bae-a861-4882fd2895e4,63644298
53,77055fbf-cbfa-4710-a3b5-6b927bbb4d45,63644323
54,dcb8cefc-862c-4cbc-953b-be5048535d06,63644331
55,06184053-3399-42d2-8d6b-ad71daeb4e6d,63644352
56,b82a37e3-794c-4640-8d08-960518b56c42,63644355
57,ac2b46b4-b195-4589-883e-d1be220b723a,63644357
58,02305f60-02f6-4059-bcb7-bd3cc769b278,63644362
59,9ceec5f0-2134-46e1-9440-30be5c5fd417,63644368
60,68a59100-dc9a-4b16-9bb7-5a6d7536e904,63644381
61,f9dcffa5-01ce-4ffb-a3d3-e8febe4924c5,63644395
